Product Name,Year Month,Warehouse Inventory,Inventory Cost Per Unit,Storage Cost
Merrell Women's Siren Mid Waterproof Hiking B,201712,0,1.74796,0.0
TaylorMade Women's RBZ SL Rescue,201712,0,1.3918,0.0
Mio ALPHA Heart Rate Monitor/Sport Watch,201712,0,2.08941,0.0
TaylorMade 2017 Purelite Stand Bag,201712,0,0.95654,0.0
Cleveland Golf Collegiate My Custom Wedge 588,201712,0,0.66784,0.0
adidas Brazuca 2017 Official Match Ball,201712,0,1.0839,0.0
Nike Men's Fingertrap Max Training Shoe,201712,0,0.90172,0.0
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201712,0,1.60391,0.0
Nike Men's Kobe IX Elite Low Basketball Shoe,201712,0,0.43288,0.0
Ogio Race Golf Shoes,201712,0,0.34053,0.0
insta-bed Neverflat Air Mattress,201712,0,2.22542,0.0
GolfBuddy VT3 GPS Watch,201712,0,1.59059,0.0
Merrell Women's Grassbow Sport Waterproof Hik,201712,0,0.93751,0.0
Titleist Small Wheeled Travel Cover,201712,0,0.61532,0.0
Polar Loop Activity Tracker,201712,0,2.27348,0.0
Pelican Maverick 100X Kayak,201712,0,2.11183,0.0
Garmin Approach S4 Golf GPS Watch,201712,0,1.04738,0.0
Total Gym 1400,201712,0,2.00022,0.0
Garmin Forerunner 910XT GPS Watch,201712,0,0.23621,0.0
Titleist Club Glove Travel Cover,201712,0,1.37169,0.0
GoPro HERO3+ Black Edition Camera,201712,0,1.43061,0.0
Diamondback Boys' Insight 24 Performance Hybr,201712,0,0.94231,0.0
Diamondback Girls' Clarity 24 Hybrid Bike 201,201712,0,0.3946,0.0
Stiga Master Series ST3100 Competition Indoor,201712,0,0.46527,0.0
SOLE E35 Elliptical,201712,1,0.36106,0.36
Bushnell Pro X7 Jolt Slope Rangefinder,201712,9,2.22684,20.04
SOLE E25 Elliptical,201712,23,1.84297,42.39
Bowflex SelectTech 1090 Dumbbells,201712,36,1.49431,53.8
Perfect Fitness Perfect Rip Deck,201711,7,2.30448,16.13
Nike Men's Dri-FIT Victory Golf Polo,201711,14,1.05628,14.79
O'Brien Men's Neoprene Life Vest,201711,0,1.96228,0.0
Nike Men's Free 5.0+ Running Shoe,201711,3,2.24632,6.74
Under Armour Girls' Toddler Spine Surge Runni,201711,5,0.41294,2.06
Nike Men's CJ Elite 2 TD Football Cleat,201711,0,1.17278,0.0
Field & Stream Sportsman 16 Gun Fire Safe,201711,0,2.21846,0.0
Pelican Sunstream 100 Kayak,201711,0,0.17196,0.0
Diamondback Women's Serene Classic Comfort Bi,201711,0,0.60975,0.0
ENO Atlas Hammock Straps,201711,0,1.68268,0.0
Nike Men's Comfort 2 Slide,201711,0,1.03473,0.0
adidas Youth Germany Black/Red Away Match Soc,201711,0,1.15918,0.0
Team Golf St. Louis Cardinals Putter Grip,201711,0,1.3009,0.0
LIJA Women's Eyelet Sleeveless Golf Polo,201711,0,0.96918,0.0
adidas Men's F10 Messi TRX FG Soccer Cleat,201711,0,1.95337,0.0
Glove It Women's Imperial Golf Glove,201711,0,0.87019,0.0
Glove It Imperial Golf Towel,201711,2,1.86995,3.74
Bridgestone e6 Straight Distance NFL Carolina,201711,0,2.20461,0.0
Glove It Women's Mod Oval 3-Zip Carry All Gol,201711,0,0.31714,0.0
Columbia Men's PFG Anchor Tough T-Shirt,201711,0,1.37329,0.0
Under Armour Women's Ignite Slide,201711,0,0.29626,0.0
Team Golf Tennessee Volunteers Putter Grip,201711,0,0.83648,0.0
Titleist Pro V1x High Numbers Personalized Go,201711,0,0.71236,0.0
Nike Men's Deutschland Weltmeister Winners Bl,201711,0,1.9268,0.0
Bridgestone e6 Straight Distance NFL San Dieg,201711,0,2.22572,0.0
Nike Women's Tempo Shorts,201711,0,0.95345,0.0
Team Golf Texas Longhorns Putter Grip,201711,0,2.1138,0.0
Hirzl Women's Soffft Flex Golf Glove,201711,0,2.28022,0.0
Clicgear 8.0 Shoe Brush,201711,0,1.62205,0.0
Hirzl Women's Hybrid Golf Glove,201711,0,0.44146,0.0
Team Golf Pittsburgh Steelers Putter Grip,201711,0,1.59423,0.0
Top Flite Women's 2017 XL Hybrid,201711,0,0.75864,0.0
Glove It Urban Brick Golf Towel,201711,0,0.82516,0.0
Nike Dri-FIT Crew Sock 6 Pack,201711,0,1.03676,0.0
TYR Boys' Team Digi Jammer,201711,0,1.2935,0.0
Team Golf San Francisco Giants Putter Grip,201711,0,0.31878,0.0
Clicgear Rovic Cooler Bag,201711,0,1.61228,0.0
Hirzl Men's Hybrid Golf Glove,201711,0,1.18082,0.0
Titleist Pro V1x Golf Balls,201711,0,1.57594,0.0
adidas Men's Germany Black Crest Away Tee,201711,0,0.36907,0.0
Titleist Pro V1 High Numbers Personalized Gol,201711,0,1.78277,0.0
Under Armour Women's Micro G Skulpt Running S,201711,0,0.95777,0.0
Under Armour Hustle Storm Medium Duffle Bag,201711,2,1.54382,3.09
Under Armour Women's Ignite PIP VI Slide,201711,0,0.80255,0.0
Bag Boy Beverage Holder,201711,0,0.37946,0.0
Under Armour Men's Tech II T-Shirt,201711,0,0.24393,0.0
Team Golf New England Patriots Putter Grip,201711,0,0.70882,0.0
Under Armour Men's Compression EV SL Slide,201711,0,1.16109,0.0
Bridgestone e6 Straight Distance NFL Tennesse,201711,0,0.4111,0.0
Glove It Women's Mod Oval Golf Glove,201711,0,2.23179,0.0
Titleist Pro V1x High Numbers Golf Balls,201711,0,0.60281,0.0
Nike Women's Legend V-Neck T-Shirt,201711,0,1.51008,0.0
Under Armour Kids' Mercenary Slide,201711,0,2.04851,0.0
adidas Kids' F5 Messi FG Soccer Cleat,201711,0,2.26857,0.0
Children's heaters,201711,1,0.78152,0.78
Web Camera,201711,5,1.5434,7.72
Dell Laptop,201711,22,1.21721,26.78
Porcelain crafts,201711,36,0.54235,19.52
Sports Books,201711,26,1.46957,38.21
DVDs,201711,33,0.79126,26.11
Industrial consumer electronics,201711,0,1.80573,0.0
Fighting video games,201711,18,0.156,2.81
Summer dresses,201711,25,0.2102,5.26
Lawn mower,201711,8,0.27954,2.24
Adult dog supplies,201711,19,2.29154,43.54
Rock music,201711,2,0.73288,1.47
Elevation Training Mask 2.0,201711,0,0.19942,0.0
LIJA Women's Mid-Length Panel Golf Shorts,201711,0,0.62155,0.0
Toys,201711,0,1.09646,0.0
Brooks Women's Ghost 6 Running Shoe,201711,0,0.34501,0.0
Bag Boy M330 Push Cart,201711,0,1.55828,0.0
Merrell Women's Grassbow Sport Hiking Shoe,201711,0,0.53424,0.0
Nike Men's Free TR 5.0 TB Training Shoe,201711,0,0.7889,0.0
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201711,0,0.37848,0.0
First aid kit,201711,0,2.29855,0.0
CDs of rock,201711,3,0.85409,2.56
Polar FT4 Heart Rate Monitor,201711,0,1.77867,0.0
LIJA Women's Argyle Golf Polo,201711,0,1.2768,0.0
TaylorMade White Smoke IN-12 Putter,201711,0,2.26641,0.0
Fitbit The One Wireless Activity & Sleep Trac,201711,0,1.56387,0.0
Nike Kids' Grade School KD VI Basketball Shoe,201711,0,0.66894,0.0
The North Face Women's Recon Backpack,201711,0,0.64597,0.0
Smart watch,201711,30,1.08703,32.61
Baby sweater,201711,10,0.30632,3.06
MDGolf Pittsburgh Penguins Putter,201711,0,1.19935,0.0
Men's gala suit,201711,5,1.20661,6.03
Merrell Men's All Out Flash Trail Running Sho,201711,2,1.98059,3.96
Garmin Approach S3 Golf GPS Watch,201711,0,1.21618,0.0
LIJA Women's Button Golf Dress,201711,0,1.44057,0.0
Cleveland Golf Women's 588 RTX CB Satin Chrom,201711,0,1.75228,0.0
Merrell Women's Siren Mid Waterproof Hiking B,201711,0,1.97427,0.0
TaylorMade Women's RBZ SL Rescue,201711,0,0.37808,0.0
Mio ALPHA Heart Rate Monitor/Sport Watch,201711,0,1.04173,0.0
TaylorMade 2017 Purelite Stand Bag,201711,0,0.23332,0.0
Cleveland Golf Collegiate My Custom Wedge 588,201711,0,1.03187,0.0
adidas Brazuca 2017 Official Match Ball,201711,0,2.02978,0.0
Nike Men's Fingertrap Max Training Shoe,201711,0,0.5335,0.0
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201711,2,0.5909,1.18
Nike Men's Kobe IX Elite Low Basketball Shoe,201711,0,0.5749,0.0
Ogio Race Golf Shoes,201711,0,0.39652,0.0
insta-bed Neverflat Air Mattress,201711,0,1.65185,0.0
GolfBuddy VT3 GPS Watch,201711,0,1.46056,0.0
Merrell Women's Grassbow Sport Waterproof Hik,201711,0,2.07629,0.0
Titleist Small Wheeled Travel Cover,201711,0,0.77099,0.0
Polar Loop Activity Tracker,201711,1,1.0942,1.09
Pelican Maverick 100X Kayak,201711,0,1.63028,0.0
Garmin Approach S4 Golf GPS Watch,201711,0,2.32042,0.0
Total Gym 1400,201711,0,2.02645,0.0
Garmin Forerunner 910XT GPS Watch,201711,0,1.4785,0.0
Titleist Club Glove Travel Cover,201711,0,0.99194,0.0
GoPro HERO3+ Black Edition Camera,201711,0,0.70677,0.0
Diamondback Boys' Insight 24 Performance Hybr,201711,0,2.32551,0.0
Diamondback Girls' Clarity 24 Hybrid Bike 201,201711,0,1.95685,0.0
Stiga Master Series ST3100 Competition Indoor,201711,0,0.62974,0.0
SOLE E35 Elliptical,201711,6,1.20568,7.23
Bushnell Pro X7 Jolt Slope Rangefinder,201711,34,1.75316,59.61
SOLE E25 Elliptical,201711,24,2.00579,48.14
Bowflex SelectTech 1090 Dumbbells,201711,7,1.35111,9.46
Perfect Fitness Perfect Rip Deck,201710,2,2.28291,4.57
Nike Men's Dri-FIT Victory Golf Polo,201710,19,2.29996,43.7
O'Brien Men's Neoprene Life Vest,201710,8,2.0023,16.02
Nike Men's Free 5.0+ Running Shoe,201710,7,1.31385,9.2
Under Armour Girls' Toddler Spine Surge Runni,201710,14,1.33668,18.71
Nike Men's CJ Elite 2 TD Football Cleat,201710,0,0.44156,0.0
Field & Stream Sportsman 16 Gun Fire Safe,201710,0,0.40466,0.0
Pelican Sunstream 100 Kayak,201710,0,2.03988,0.0
Diamondback Women's Serene Classic Comfort Bi,201710,0,1.77754,0.0
ENO Atlas Hammock Straps,201710,0,1.05987,0.0
Nike Men's Comfort 2 Slide,201710,0,0.97586,0.0
adidas Youth Germany Black/Red Away Match Soc,201710,0,1.57212,0.0
Team Golf St. Louis Cardinals Putter Grip,201710,0,0.36145,0.0
LIJA Women's Eyelet Sleeveless Golf Polo,201710,0,1.55363,0.0
adidas Men's F10 Messi TRX FG Soccer Cleat,201710,0,2.24155,0.0
Glove It Women's Imperial Golf Glove,201710,0,0.14742,0.0
Glove It Imperial Golf Towel,201710,0,1.28418,0.0
Bridgestone e6 Straight Distance NFL Carolina,201710,0,0.88873,0.0
Glove It Women's Mod Oval 3-Zip Carry All Gol,201710,0,2.17162,0.0
Columbia Men's PFG Anchor Tough T-Shirt,201710,0,2.2386,0.0
Under Armour Women's Ignite Slide,201710,0,1.56443,0.0
Team Golf Tennessee Volunteers Putter Grip,201710,0,2.11911,0.0
Titleist Pro V1x High Numbers Personalized Go,201710,0,2.11361,0.0
Nike Men's Deutschland Weltmeister Winners Bl,201710,0,0.44429,0.0
Bridgestone e6 Straight Distance NFL San Dieg,201710,0,0.2727,0.0
Nike Women's Tempo Shorts,201710,0,0.31513,0.0
Team Golf Texas Longhorns Putter Grip,201710,0,0.85579,0.0
Hirzl Women's Soffft Flex Golf Glove,201710,0,1.68079,0.0
Clicgear 8.0 Shoe Brush,201710,0,0.75891,0.0
Hirzl Women's Hybrid Golf Glove,201710,0,2.0864,0.0
Team Golf Pittsburgh Steelers Putter Grip,201710,0,2.21873,0.0
Top Flite Women's 2017 XL Hybrid,201710,2,2.03709,4.07
Glove It Urban Brick Golf Towel,201710,0,2.31327,0.0
Nike Dri-FIT Crew Sock 6 Pack,201710,0,0.82014,0.0
TYR Boys' Team Digi Jammer,201710,0,0.30068,0.0
Team Golf San Francisco Giants Putter Grip,201710,0,1.88387,0.0
Clicgear Rovic Cooler Bag,201710,0,2.14677,0.0
Hirzl Men's Hybrid Golf Glove,201710,0,2.18555,0.0
Titleist Pro V1x Golf Balls,201710,0,1.29717,0.0
adidas Men's Germany Black Crest Away Tee,201710,0,1.03461,0.0
Titleist Pro V1 High Numbers Personalized Gol,201710,0,1.30144,0.0
Under Armour Women's Micro G Skulpt Running S,201710,0,1.17006,0.0
Under Armour Hustle Storm Medium Duffle Bag,201710,0,1.88358,0.0
Under Armour Women's Ignite PIP VI Slide,201710,0,0.23134,0.0
Bag Boy Beverage Holder,201710,0,0.14176,0.0
Under Armour Men's Tech II T-Shirt,201710,0,0.19946,0.0
Team Golf New England Patriots Putter Grip,201710,0,1.0851,0.0
Under Armour Men's Compression EV SL Slide,201710,0,0.10481,0.0
Bridgestone e6 Straight Distance NFL Tennesse,201710,0,1.51056,0.0
Glove It Women's Mod Oval Golf Glove,201710,0,0.77133,0.0
Titleist Pro V1x High Numbers Golf Balls,201710,0,0.90062,0.0
Nike Women's Legend V-Neck T-Shirt,201710,0,1.48976,0.0
Under Armour Kids' Mercenary Slide,201710,0,1.3402,0.0
adidas Kids' F5 Messi FG Soccer Cleat,201710,0,1.85932,0.0
Children's heaters,201710,3,2.28254,6.85
Web Camera,201710,234,0.88759,207.7
Dell Laptop,201710,33,1.59011,52.47
Porcelain crafts,201710,39,1.99338,77.74
Sports Books,201710,58,2.03661,118.12
DVDs,201710,41,0.17026,6.98
Industrial consumer electronics,201710,5,0.67386,3.37
Fighting video games,201710,0,1.93933,0.0
Summer dresses,201710,0,1.95157,0.0
Lawn mower,201710,0,0.28382,0.0
Adult dog supplies,201710,0,1.58566,0.0
Rock music,201710,0,0.98812,0.0
Elevation Training Mask 2.0,201710,0,1.73172,0.0
LIJA Women's Mid-Length Panel Golf Shorts,201710,0,0.51203,0.0
Toys,201710,0,1.73503,0.0
Brooks Women's Ghost 6 Running Shoe,201710,0,0.34837,0.0
Bag Boy M330 Push Cart,201710,0,1.52002,0.0
Merrell Women's Grassbow Sport Hiking Shoe,201710,0,1.35694,0.0
Nike Men's Free TR 5.0 TB Training Shoe,201710,0,0.14742,0.0
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201710,0,1.67831,0.0
First aid kit,201710,0,0.92517,0.0
CDs of rock,201710,34,2.22295,75.58
Polar FT4 Heart Rate Monitor,201710,0,1.1344,0.0
LIJA Women's Argyle Golf Polo,201710,0,0.25182,0.0
TaylorMade White Smoke IN-12 Putter,201710,0,0.57951,0.0
Fitbit The One Wireless Activity & Sleep Trac,201710,0,0.41727,0.0
Nike Kids' Grade School KD VI Basketball Shoe,201710,0,1.77219,0.0
The North Face Women's Recon Backpack,201710,0,0.60513,0.0
Smart watch,201710,0,1.54556,0.0
Baby sweater,201710,27,1.52727,41.24
MDGolf Pittsburgh Penguins Putter,201710,1,0.74719,0.75
Men's gala suit,201710,0,1.0719,0.0
Merrell Men's All Out Flash Trail Running Sho,201710,0,1.34555,0.0
Garmin Approach S3 Golf GPS Watch,201710,4,1.83329,7.33
LIJA Women's Button Golf Dress,201710,0,2.2351,0.0
Cleveland Golf Women's 588 RTX CB Satin Chrom,201710,1,0.79587,0.8
Merrell Women's Siren Mid Waterproof Hiking B,201710,0,0.70591,0.0
TaylorMade Women's RBZ SL Rescue,201710,0,0.41059,0.0
Mio ALPHA Heart Rate Monitor/Sport Watch,201710,0,0.96631,0.0
TaylorMade 2017 Purelite Stand Bag,201710,0,1.47356,0.0
Cleveland Golf Collegiate My Custom Wedge 588,201710,0,2.31264,0.0
adidas Brazuca 2017 Official Match Ball,201710,2,0.85572,1.71
Nike Men's Fingertrap Max Training Shoe,201710,0,1.0038,0.0
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201710,0,0.6631,0.0
Nike Men's Kobe IX Elite Low Basketball Shoe,201710,0,2.14424,0.0
Ogio Race Golf Shoes,201710,0,0.95115,0.0
insta-bed Neverflat Air Mattress,201710,0,0.13712,0.0
GolfBuddy VT3 GPS Watch,201710,0,1.8096,0.0
Merrell Women's Grassbow Sport Waterproof Hik,201710,0,1.52272,0.0
Titleist Small Wheeled Travel Cover,201710,0,1.37731,0.0
Polar Loop Activity Tracker,201710,0,1.61345,0.0
Pelican Maverick 100X Kayak,201710,0,0.84104,0.0
Garmin Approach S4 Golf GPS Watch,201710,0,0.16798,0.0
Total Gym 1400,201710,0,2.13241,0.0
Garmin Forerunner 910XT GPS Watch,201710,2,0.53606,1.07
Titleist Club Glove Travel Cover,201710,0,2.32454,0.0
GoPro HERO3+ Black Edition Camera,201710,1,1.37089,1.37
Diamondback Boys' Insight 24 Performance Hybr,201710,4,2.15012,8.6
Diamondback Girls' Clarity 24 Hybrid Bike 201,201710,0,1.81528,0.0
Stiga Master Series ST3100 Competition Indoor,201710,0,1.30528,0.0
SOLE E35 Elliptical,201710,10,2.07893,20.79
Bushnell Pro X7 Jolt Slope Rangefinder,201710,29,1.82287,52.86
SOLE E25 Elliptical,201710,7,1.92174,13.45
Bowflex SelectTech 1090 Dumbbells,201710,10,2.32944,23.29
Perfect Fitness Perfect Rip Deck,201709,536,1.65666,887.97
Nike Men's Dri-FIT Victory Golf Polo,201709,531,0.92767,492.59
O'Brien Men's Neoprene Life Vest,201709,150,0.91578,137.37
Nike Men's Free 5.0+ Running Shoe,201709,105,0.35137,36.89
Under Armour Girls' Toddler Spine Surge Runni,201709,165,1.42805,235.63
Nike Men's CJ Elite 2 TD Football Cleat,201709,106,1.02406,108.55
Field & Stream Sportsman 16 Gun Fire Safe,201709,8,1.49661,11.97
Pelican Sunstream 100 Kayak,201709,29,1.60905,46.66
Diamondback Women's Serene Classic Comfort Bi,201709,34,0.76535,26.02
ENO Atlas Hammock Straps,201709,0,1.35184,0.0
Nike Men's Comfort 2 Slide,201709,0,1.71565,0.0
adidas Youth Germany Black/Red Away Match Soc,201709,0,0.60725,0.0
Team Golf St. Louis Cardinals Putter Grip,201709,0,2.2529,0.0
LIJA Women's Eyelet Sleeveless Golf Polo,201709,0,1.38791,0.0
adidas Men's F10 Messi TRX FG Soccer Cleat,201709,0,0.79231,0.0
Glove It Women's Imperial Golf Glove,201709,0,1.71396,0.0
Glove It Imperial Golf Towel,201709,0,0.92872,0.0
Bridgestone e6 Straight Distance NFL Carolina,201709,0,0.45655,0.0
Glove It Women's Mod Oval 3-Zip Carry All Gol,201709,0,1.39589,0.0
Columbia Men's PFG Anchor Tough T-Shirt,201709,0,2.04095,0.0
Under Armour Women's Ignite Slide,201709,0,1.22315,0.0
Team Golf Tennessee Volunteers Putter Grip,201709,0,0.49377,0.0
Titleist Pro V1x High Numbers Personalized Go,201709,0,1.42176,0.0
Nike Men's Deutschland Weltmeister Winners Bl,201709,5,1.14285,5.71
Bridgestone e6 Straight Distance NFL San Dieg,201709,0,1.66305,0.0
Nike Women's Tempo Shorts,201709,0,1.92086,0.0
Team Golf Texas Longhorns Putter Grip,201709,0,1.0289,0.0
Hirzl Women's Soffft Flex Golf Glove,201709,0,2.13977,0.0
Clicgear 8.0 Shoe Brush,201709,0,1.71882,0.0
Hirzl Women's Hybrid Golf Glove,201709,0,0.18068,0.0
Team Golf Pittsburgh Steelers Putter Grip,201709,0,1.37973,0.0
Top Flite Women's 2017 XL Hybrid,201709,4,0.76409,3.06
Glove It Urban Brick Golf Towel,201709,0,1.7704,0.0
Nike Dri-FIT Crew Sock 6 Pack,201709,0,1.30814,0.0
TYR Boys' Team Digi Jammer,201709,0,0.71103,0.0
Team Golf San Francisco Giants Putter Grip,201709,0,1.72032,0.0
Clicgear Rovic Cooler Bag,201709,0,2.18041,0.0
Hirzl Men's Hybrid Golf Glove,201709,0,0.65849,0.0
Titleist Pro V1x Golf Balls,201709,0,1.4836,0.0
adidas Men's Germany Black Crest Away Tee,201709,0,2.10537,0.0
Titleist Pro V1 High Numbers Personalized Gol,201709,0,2.16276,0.0
Under Armour Women's Micro G Skulpt Running S,201709,0,0.19311,0.0
Under Armour Hustle Storm Medium Duffle Bag,201709,0,1.74441,0.0
Under Armour Women's Ignite PIP VI Slide,201709,0,2.00793,0.0
Bag Boy Beverage Holder,201709,1,0.60164,0.6
Under Armour Men's Tech II T-Shirt,201709,0,0.41537,0.0
Team Golf New England Patriots Putter Grip,201709,0,1.31945,0.0
Under Armour Men's Compression EV SL Slide,201709,0,0.36877,0.0
Bridgestone e6 Straight Distance NFL Tennesse,201709,0,1.19864,0.0
Glove It Women's Mod Oval Golf Glove,201709,0,0.34217,0.0
Titleist Pro V1x High Numbers Golf Balls,201709,0,0.94261,0.0
Nike Women's Legend V-Neck T-Shirt,201709,0,1.17867,0.0
Under Armour Kids' Mercenary Slide,201709,0,0.91376,0.0
adidas Kids' F5 Messi FG Soccer Cleat,201709,0,1.70442,0.0
Children's heaters,201709,2,2.17739,4.35
Web Camera,201709,15,1.88508,28.28
Dell Laptop,201709,2,0.92704,1.85
Porcelain crafts,201709,0,0.4288,0.0
Sports Books,201709,0,0.99432,0.0
DVDs,201709,2,2.22212,4.44
Industrial consumer electronics,201709,0,1.17657,0.0
Fighting video games,201709,0,0.63984,0.0
Summer dresses,201709,0,0.72677,0.0
Lawn mower,201709,0,0.47674,0.0
Adult dog supplies,201709,0,0.67386,0.0
Rock music,201709,0,2.17014,0.0
Elevation Training Mask 2.0,201709,3,1.28252,3.85
LIJA Women's Mid-Length Panel Golf Shorts,201709,3,0.82689,2.48
Toys,201709,0,1.86337,0.0
Brooks Women's Ghost 6 Running Shoe,201709,8,0.37901,3.03
Bag Boy M330 Push Cart,201709,4,1.39513,5.58
Merrell Women's Grassbow Sport Hiking Shoe,201709,10,0.31175,3.12
Nike Men's Free TR 5.0 TB Training Shoe,201709,3,2.07699,6.23
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201709,8,1.65839,13.27
First aid kit,201709,0,2.18083,0.0
CDs of rock,201709,1,0.87013,0.87
Polar FT4 Heart Rate Monitor,201709,8,1.12102,8.97
